"","FID","Name","Address","Location","geom","Document","HoCo.ID","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Survey.Year","Comments","ZipCode","Menu_Item1","Menu_Item2"
"1","Historic_Sites_View.fid-e93e948_15090ed509b_-18f3","Caleb Cross House","12745 Frederick Rd","","POINT (1325009.22 595889.115)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-915.pdf"" TARGET=""NEW"">Click Here </a>",915,15,11,141,0,"Caleb Cross House","","2007","Scheduled to be burned 12/06",NA,NA,NA
"2","Historic_Sites_View.fid-e93e948_15090ed509b_-18f4","St. Louis King Catholic C","5950 Ten Oaks Rd","Clarksville","POINT (1323777.2999999998 561310.4249999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1019.pdf"" TARGET=""NEW"">Click Here </a>",1019,34,0,263,0,"St. Louis King Catholic Church & Cemetery","","2010","",NA,NA,NA
"3","Historic_Sites_View.fid-e93e948_15090ed509b_-18f5","Patapsco River Bridge, No","US Rt 40 over Patapsco Ri","Ellicott City","POINT (1374954.8699999999 593110.95)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1018.pdf"" TARGET=""NEW"">Click Here </a>",1018,18,0,0,0,"Patapsco River Bridge, No. 3109","","2010","",NA,NA,NA
"4","Historic_Sites_View.fid-e93e948_15090ed509b_-18f6","Unnamed","3737 Sharp Rd","Glenwood","POINT (1309284.8699999999 582868.95)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1014.pdf"" TARGET=""NEW"">Click Here </a>",1014,21,12,149,0,"","","2010","Scheduled to be demolished in 2010",NA,NA,NA
"5","Historic_Sites_View.fid-e93e948_15090ed509b_-18f7","Arma Gardener House","7948 Old Jessup Rd","Jessup","POINT (1375615.47 541419.945)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1013.pdf"" TARGET=""NEW"">Click Here </a>",1013,43,22,419,0,"Arma Gardener House","","2010","",NA,NA,NA
"6","Historic_Sites_View.fid-e93e948_15090ed509b_-18f8","Unnamed","2034 Millers Mill Rd","Cooksville","POINT (1304554.8599999999 599892.69)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1010.pdf"" TARGET=""NEW"">Click Here </a>",1010,14,3,22,0,"","","2010","Scheduled to be demolished in 2010",NA,NA,NA
"7","Historic_Sites_View.fid-e93e948_15090ed509b_-18f9","","6224 Hanover Rd","Hanover","POINT (1390950.42 558430.98)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1009.pdf"" TARGET=""NEW"">Click Here </a>",1009,38,15,238,0,"","","2010","Scheduled to be demolished in 2010",NA,NA,NA
"8","Historic_Sites_View.fid-e93e948_15090ed509b_-18fa","Unnamed","5513 Waterloo Rd Ellicott","Ellicott City","POINT (1366988.7899999998 565650.465)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1007.pdf"" TARGET=""NEW"">Click Here </a>",1007,31,19,428,0,"Unnamed","","2009","Scheduled to be demolished in 2009-2010",NA,NA,NA
"9","Historic_Sites_View.fid-e93e948_15090ed509b_-18fb","Unnamed","9549 Old Frederick Rd","Ellicott City","POINT (1357106.88 593971.1549999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1006.pdf"" TARGET=""NEW"">Click Here </a>",1006,17,15,518,0,"Unnamed","","2009","Scheduled to be dempolished in 2010 for new subdivision",NA,NA,NA
"10","Historic_Sites_View.fid-e93e948_15090ed509b_-18fc","Unnamed","2774 St. John's Ln","Ellicott City","POINT (1357714.71 592868.745)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1005.pdf"" TARGET=""NEW"">Click Here </a>",1005,17,16,71,0,"Unnamed","","2009","Scheduled to be dempolished in 2010 for new subdivision",NA,NA,NA
"11","Historic_Sites_View.fid-e93e948_15090ed509b_-18fd","Baugher Farm","4775 Baugher Farm Rd","Ellicott City","POINT (1368994.5 572888.01)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1004.pdf"" TARGET=""NEW"">Click Here </a>",1004,31,7,800,0,"Baugher Farm","","2010","Scheduled to be demolished in 2010 for new house",NA,NA,NA
"12","Historic_Sites_View.fid-e93e948_15090ed509b_-18fe","Unnamed","10730 Scaggsville Rd","","POINT (1345500.24 536590.4249999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-995.pdf"" TARGET=""NEW"">Click Here </a>",995,46,11,6,0,"Unnamed","","2009","Scheduled to be demolished in 2009",NA,NA,NA
"13","Historic_Sites_View.fid-e93e948_15090ed509b_-18ff","Joseph and Virgile McAlli","3765 St Paul St","Ellicott City","POINT (1369898.94 582729.0299999999)","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-1003.pdf"" TARGET=""NEW"">Click Here </a>",1003,25,14,121,0,"Joseph and Virgile McAllister House","","2009","Scheduled for demolition in 2010 for St Paul's Church facility",NA,NA,NA
