FID,Name,Address,City,ZipCode,Menu_Item1,Menu_Item2,geom
HH_Restaurants.1,2 Go Convenience & Deli,9016 Washington Blvd,Savage,20763,"Roast Beef Sandwich w/ Mustard, Lettuce, and Tomato",Tuna Salad Sandwich on Whole Wheat Bread w/ Lettuce and Tomato,POINT (1364637.0801304185 535239.6313811169)
HH_Restaurants.2,Abby's Gourmet Caf√©,6724 Alexander Bell Dr,Columbia,21046,Greenwich Turkey and Spinach Florentine Omelette (No Cheese) w/ Fruit Cup and Oriental Salad,Georgian (w/o Cheese) w/ Fruit Cup and The First  Lady (w/o Cheese) w/ Fruit Cup,POINT (1366268.3895067733 553647.0290372602)
HH_Restaurants.3,Alexandra‚??s Restaurant,2700 Turf Valley Rd,Ellicott City,21042,Herb Crusted Tuna w/      Parsley Emulsion on the Side and Roasted Poblano Relleno w/   Extra Filling and Chipotle Sour Cream,Spinach Arugula Salad w/ Chilled Shrimp (No Goat Cheese) and w/ Tangerine Vinaigrette on the Side,POINT (1344805.5792404502 593490.6045318024)
HH_Restaurants.4,Anna's Coffee Roastery,8827 Centre Park Dr,Columbia,21045,Omelet Sandwich on English Muffin w/ Strawberry Chobani,Full Powerhouse Sandwich (No Cheese) w/ Real! Veggie Chips Baked,POINT (1364761.1696847007 568623.2334518452)
HH_Restaurants.5,Aramark Java City (Java City Micros Systems in PatTrac),7031 Columbia Gateway Dr,Columbia,21046,Egg Sandwich on English Muffin (No Cheese) w/ Fruit Cup and Dannon Light & Fit Yogurt,"Chicken Breast Sandwich on Multigrain Bread w/ Light Mayo, Carrots, and Pickle Spear and Turkey Burger w/ Baked Beans and Carrots",POINT (1368585.118072118 548835.0468402705)
HH_Restaurants.6,Asian Express,"7500 Montpelier Rd, Ste 109",Laurel,20723,Diet Tofu w/ Mixed Vegetables,Diet Shrimp w/ Mixed Vegetables and Diet Chicken w/ Broccoli,POINT (1342955.064495796 544090.9627012791)
HH_Restaurants.7,Azul 17,9400 Snowden River Pkwy,Columbia,21045,Red Snapper Ceviche and Grouper Ceviche,Nopalito Asado w/ Frijoles Negros,POINT (1358484.696615927 549984.0458735556)
HH_Restaurants.8,Bagel Bin & Deli,8630 Guilford Rd,Columbia,21046,"Multigrain Bagel w/ Egg Whites, Lettuce, Tomato, and American Cheese and The Lite Flight (w/o Cheese) and Side of Pasta Salad",Veggie Treat w/ Hummus (w/o Cheese) and Side of Pasta Salad,POINT (1350561.4029765117 547425.5768086002)
HH_Restaurants.9,Bagel Bin & Deli,10040 Baltimore National Pk,Ellicott City,21042,"Whole Grain Bagel w/ Egg, Lettuce, Tomato, and American Cheese",Bagel Sandwich on Whole Grain Bagel w/ Hummus and Veggies,POINT (1352715.7029979273 588049.3946420924)
HH_Restaurants.10,Bagel Bin & Deli,10451 Twin Rivers Rd,Columbia,21044,"Whole Wheat Bagel w/ Eggbeaters, Cheese, Lettuce, and Tomato and Egg White Veggie Omelet w/ Spinach, Carrots, and Broccoli and Whole Wheat Bagel and Fruit Cup",Rabbit Bagel Sandwich on Whole Wheat Bagel w/ Hummus and Veggies,POINT (1347846.358648481 565651.2300939572)
