FID,Document,HoCo ID,Name,Address,Tax Map,Block,Parcel,Lot,Building Name,Common Name,Location,Survey Year,Comments,geom
Historic_Sites_View.fid-e93e948_15090ed509b_-1d20,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-003.pdf"" TARGET=""NEW"">Click Here </a>",003,Pleasant Valley,13893 Forsythe Rd,9,7,92,0,Pleasant Valley,Lost by Neglect,Sykesville,1976,,POINT (1313476.65 609728.115)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1f,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-001.pdf"" TARGET=""NEW"">Click Here </a>",001,Cherry Grove,2937 Jennings Chapel Rd,13,22,46,0,Cherry Grove,,Woodbine,2005,Under restoration (2000),POINT (1285586.4 592340.7749999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1e,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-002.pdf"" TARGET=""NEW"">Click Here </a>",002,Oakdale,16457 Edwin Warfield Rd,13,23,277,0,Oakdale,,Glenwood,1976,,POINT (1288921.44 591093.51)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1d,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-004.pdf"" TARGET=""NEW"">Click Here </a>",004,Red HouseTavern,14631 Red Lion Dr,8,17,93,0,Red House Tavern,,Cooksville,1976,,POINT (1307418.9 605921.2949999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-005.pdf"" TARGET=""NEW"">Click Here </a>",005,Robert's Inn,14610 Md 144,8,22,148,0,Roberts Inn,,Cooksville,2000,,POINT (1306629.0899999999 602534.445)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-006.pdf"" TARGET=""NEW"">Click Here </a>",006,Ellerslie,2761 Roxbury Mills Rd,14,17,225,44,Ellerslie,,Cooksville,1976,"Glenwood Springs Section 1, Area 1, Lot 44",POINT (1306159.8299999998 592746.1799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d1a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-008.pdf"" TARGET=""NEW"">Click Here </a>",008,Longwood,3188 Roxbury Mills Rd,14,21,74,0,Longwood,,Glenwood,2004,2005 Decorator Show House,POINT (1302623.5499999998 588786.6)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d19,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-009.pdf"" TARGET=""NEW"">Click Here </a>",009,Peacefields,15505 Cattail Oaks,21,10,63,14,Round About Hills,Peacefields,Glenwood,2007,,POINT (1303582.89 585186.135)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d18,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-010.pdf"" TARGET=""NEW"">Click Here </a>",010,Villa deSperanza,3729 Sofia Ct,21,8,225,0,Villa de Speranza,New Year's Gift,Glenwood,1977,,POINT (1299474.99 583363.5)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d17,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-011.pdf"" TARGET=""NEW"">Click Here </a>",011,Stephen Boone Dorsey Hous,15451 Roxbury Rd,21,14,23,0,Duvall's Range,Stephen Boone Dorsey House,Glenwood,1977,,POINT (1300247.91 581882.3999999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d16,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-012.pdf"" TARGET=""NEW"">Click Here </a>",012,Roxbury Mill,4152 Roxbury Mills Rd,21,19,87,0,Roxbury Mill,,Glenwood,1976,Mostly demolished,POINT (1297317.63 579646.83)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d15,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-013.pdf"" TARGET=""NEW"">Click Here </a>",013,Howard Lodge,12301 Howard Lodge Rd,9,12,157,0,Taylor's Park,Howard Lodge,Sykesville,1976,,POINT (1329078 608560.6499999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d14,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-014.pdf"" TARGET=""NEW"">Click Here </a>",014,Howard County Hunt Club,13400 Triadelphia Rd,22,8,6,0,Howard County Hunt Club,,Ellicott City,1977,,POINT (1318021.5899999999 582810.7799999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d13,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-015.pdf"" TARGET=""NEW"">Click Here </a>",015,Glenelg Manor,12793 Folly Quarter Rd,22,22,146,0,Glenelg Manor,Glenelg Country School,Glenelg,2010,Now Glenelg Country School DB had 2/3/83,POINT (1323114.93 577325.1)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d12,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-016.pdf"" TARGET=""NEW"">Click Here </a>",016,Folly Quarter Manor,12300 Folly Quarter Rd,22,24,46,0,Folly Quarter Manor/McTavish House,St. Joseph Cupertino Novitiate,Ellicott City,1976,,POINT (1329467.4 578006.73)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d11,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-017.pdf"" TARGET=""NEW"">Click Here </a>",017,Folly Farm,4308 Folly Quarter Rd,23,19,33,0,Folly Farm,,Ellicott City,1976,1999 Decorator Show House,POINT (1331643.5399999998 577375.215)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d10,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-018.pdf"" TARGET=""NEW"">Click Here </a>",018,Walnut Grove,5192 Sheppard Ln,28,18,74,0,Walnut Grove,,Clarksville,1976,,POINT (1329444.0899999999 568842.975)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0f,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-019.pdf"" TARGET=""NEW"">Click Here </a>",019,Huntington Farms,13180 Brighton Dam Rd,34,3,143,9,Huntington Farms,,Clarksville,1977,Waterford Section 1. Under restoration (2000),POINT (1320582.7799999998 559696.4249999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0e,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-020.pdf"" TARGET=""NEW"">Click Here </a>",020,Hickory Ridge,13032 Highland Rd,34,22,117,0,Hickory Ridge,,Highland,1976,Completing restoration (2000),POINT (1322639.2799999998 553470.315)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0d,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-021.pdf"" TARGET=""NEW"">Click Here </a>",021,Waverly,2300 Waverly Mansion Dr,16,4,383,0,Waverly,,Ellicott City,2008,,POINT (1341807.18 598502.6849999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0c,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-022.pdf"" TARGET=""NEW"">Click Here </a>",022,Doughoregan Manor,3500 Manor Lane,23,4,71,0,Doughoregan Manor,,Ellicott City,2003,NHL 11/11/71; MHT 30-year temp easement expired 2007,POINT (1342599.5399999998 586316.6849999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0b,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-023.pdf"" TARGET=""NEW"">Click Here </a>",023,Burleigh Manor,3950 White Rose Way,24,13,1162,3,Burleigh,Hammond's Interitance,Ellicott City,1980,MHT Easement on house and buffer; HC Conservancy easement on parcel,POINT (1349652.72 581121.6)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d0a,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-024.pdf"" TARGET=""NEW"">Click Here </a>",024,Font Hill,9900 Timberknoll Ln,24,8,725,63,Font Hill,Font Hill Manor,Ellicott City,1976,2004 Decorator Show House,POINT (1352693.6099999999 582959.7749999999)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d09,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-025.pdf"" TARGET=""NEW"">Click Here </a>",025,Brick House on the Pike,9669 Susie's Way,24,3,810,12,Brick House on the Pike,Brick House Farm; Ellerslie,Ellicott City,2008,,POINT (1356727.68 587336.13)
Historic_Sites_View.fid-e93e948_15090ed509b_-1d08,"<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-026.pdf"" TARGET=""NEW"">Click Here </a>",026,St Johns Episcopal Church,9140 Frederick Rd,24,10,535,0,St. John's Episcopal Church,,Ellicott City,1987,,POINT (1360839.72 585025.095)
